,total_housing,housing_error,totalGas,gasError
"Schoharie County, New York: Summary level: 050, state:36> county:095",12559,322,858,148
"Fulton County, New York: Summary level: 050, state:36> county:035",22557,505,8836,476
"Rensselaer County, New York: Summary level: 050, state:36> county:083",64906,574,30814,775
"Franklin County, New York: Summary level: 050, state:36> county:033",19015,375,1148,308
"Queens County, New York: Summary level: 050, state:36> county:081",778932,2366,595712,2981
"Washington County, New York: Summary level: 050, state:36> county:115",24014,435,4754,444
"New York County, New York: Summary level: 050, state:36> county:061",759460,4629,334975,4600
"Cayuga County, New York: Summary level: 050, state:36> county:011",31221,485,15134,515
"Rockland County, New York: Summary level: 050, state:36> county:087",100438,598,85334,992
"Niagara County, New York: Summary level: 050, state:36> county:063",88519,733,68905,765
"Essex County, New York: Summary level: 050, state:36> county:031",15790,448,567,150
"Nassau County, New York: Summary level: 050, state:36> county:059",446977,1301,260412,1980
"Schuyler County, New York: Summary level: 050, state:36> county:097",7324,214,1258,123
"Chenango County, New York: Summary level: 050, state:36> county:017",20697,344,3048,246
"Jefferson County, New York: Summary level: 050, state:36> county:045",42734,711,17197,642
"Suffolk County, New York: Summary level: 050, state:36> county:103",489301,2144,194695,2432
"Wyoming County, New York: Summary level: 050, state:36> county:121",15917,245,7521,291
"Oswego County, New York: Summary level: 050, state:36> county:075",46079,691,19412,643
"Wayne County, New York: Summary level: 050, state:36> county:117",36720,454,19384,552
"Broome County, New York: Summary level: 050, state:36> county:007",78549,784,48447,792
"Erie County, New York: Summary level: 050, state:36> county:029",389585,1634,344360,1880
"Sullivan County, New York: Summary level: 050, state:36> county:105",28184,635,1117,251
"Orange County, New York: Summary level: 050, state:36> county:071",128016,950,63799,1038
"Bronx County, New York: Summary level: 050, state:36> county:005",503829,1325,223263,3036
"Onondaga County, New York: Summary level: 050, state:36> county:067",185324,1191,130944,1367
"Clinton County, New York: Summary level: 050, state:36> county:019",31301,553,3787,302
"Seneca County, New York: Summary level: 050, state:36> county:099",13564,289,5366,254
"Putnam County, New York: Summary level: 050, state:36> county:079",34854,500,3008,373
"Herkimer County, New York: Summary level: 050, state:36> county:043",24524,431,10465,414
"Ontario County, New York: Summary level: 050, state:36> county:069",44787,541,26685,681
"Steuben County, New York: Summary level: 050, state:36> county:101",39861,451,21190,450
"Hamilton County, New York: Summary level: 050, state:36> county:041",1157,105,29,21
"Chautauqua County, New York: Summary level: 050, state:36> county:013",53075,619,35596,631
"Kings County, New York: Summary level: 050, state:36> county:047",958567,2485,745901,3188
"Tioga County, New York: Summary level: 050, state:36> county:107",20030,356,6023,321
"Orleans County, New York: Summary level: 050, state:36> county:073",16563,340,7060,353
"Saratoga County, New York: Summary level: 050, state:36> county:091",94406,839,53605,975
"Columbia County, New York: Summary level: 050, state:36> county:021",24966,497,3097,293
"Lewis County, New York: Summary level: 050, state:36> county:049",10247,231,1638,148
"Westchester County, New York: Summary level: 050, state:36> county:119",349292,1512,173926,1869
"Delaware County, New York: Summary level: 050, state:36> county:025",18968,485,2172,286
"Montgomery County, New York: Summary level: 050, state:36> county:057",19660,291,9365,393
"Richmond County, New York: Summary level: 050, state:36> county:085",166246,1095,146380,1123
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",41933,533,14981,547
"Tompkins County, New York: Summary level: 050, state:36> county:109",39618,531,19012,634
"Warren County, New York: Summary level: 050, state:36> county:113",28015,428,12519,441
"Cortland County, New York: Summary level: 050, state:36> county:023",17745,397,9136,381
"Dutchess County, New York: Summary level: 050, state:36> county:027",108413,900,28954,940
"Monroe County, New York: Summary level: 050, state:36> county:055",301948,1547,237878,1992
"Oneida County, New York: Summary level: 050, state:36> county:065",89729,797,52643,1042
"Ulster County, New York: Summary level: 050, state:36> county:111",69320,753,14060,641
"Chemung County, New York: Summary level: 050, state:36> county:015",33989,525,24109,694
"Livingston County, New York: Summary level: 050, state:36> county:051",24176,400,11727,431
"Otsego County, New York: Summary level: 050, state:36> county:077",23409,458,4231,334
"Greene County, New York: Summary level: 050, state:36> county:039",17100,457,1521,246
"Albany County, New York: Summary level: 050, state:36> county:001",126540,951,85642,1255
"Allegany County, New York: Summary level: 050, state:36> county:003",17948,351,9254,354
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",31779,318,16674,425
"Madison County, New York: Summary level: 050, state:36> county:053",25877,574,10987,498
"Schenectady County, New York: Summary level: 050, state:36> county:093",54302,825,39082,835
"Genesee County, New York: Summary level: 050, state:36> county:037",23759,339,13823,384
"Yates County, New York: Summary level: 050, state:36> county:123",8919,351,2572,257
